RANK,FULL_NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
73,Cedi Osman,Cle,SF,22,61,11,23,15.7,0.134,46,0.565,99,0.586,87,0.368,0.57,0.577,3.9,2,10,0.7,8.6,0.36,0.05,0.52,6.4,107.9,101.7
74,Chandler Parsons,Mem,SF,29,36,19.2,40,18.2,0.125,27,0.63,113,0.504,121,0.421,0.571,0.578,7.9,2.5,7.5,1.9,16.4,0.5,0.31,0.97,7,110.1,108.1
75,Channing Frye,Cle,C,34,44,12.4,25.8,15.6,0.088,15,0.933,79,0.684,90,0.333,0.586,0.604,4.8,2.5,11.3,0.6,7.5,0.39,0.27,0.39,6.2,115.2,102.6
76,Channing Frye,Lal,C,34,9,16.7,34.8,13.8,0.082,4,0.75,18,0.611,25,0.36,0.57,0.581,5.8,2.8,8.9,1.1,9.4,0.11,0.22,0.44,6.3,115.2,102.2
77,Charles Cooke,Nor,SG,23,13,2.9,6.1,18,0.063,2,0.5,6,0.167,8,0.125,0.179,0.202,0.5,0.2,2.8,0.1,3.2,0.08,0,0.08,3,,
78,Cheick Diallo,Nor,PF,21,52,11.2,23.3,17.3,0.116,66,0.758,176,0.58,0,0,0.58,0.619,4.9,4,19.6,0.4,4.7,0.21,0.4,0.52,7.1,118.8,94
79,Chinanu Onuaku,Hou,PF,21,1,21.6,45,16.3,0.375,0,0,5,0.4,0,0,0.4,0.4,4,4,10.4,1,6.5,0,0,3,4.7,62.6,91.7
80,Chris Boucher,Gol,PF,25,1,1.3,2.7,33.8,0,0,0,0,0,1,0,0,0,0,1,43,0,0,0,0,0,0,,
81,Chris McCullough,Was,PF,22,19,4.7,9.8,24.7,0.04,14,0.643,34,0.5,8,0.125,0.44,0.478,2.4,1.3,15.8,0.2,7.1,0,0.26,0.11,7.3,104.5,102.8
82,Chris Paul,Hou,PG,32,58,31.8,66.3,24.5,0.125,221,0.919,419,0.532,379,0.38,0.55,0.604,18.6,5.4,9.5,7.9,40.9,1.67,0.22,2.21,11.6,126.1,99.6
83,CJ McCollum,Por,SG,26,81,36.1,75.2,26.5,0.086,250,0.836,1029,0.465,476,0.397,0.506,0.536,21.4,4,6,3.4,15.8,0.95,0.43,1.86,7.3,108.4,105.4
84,CJ Miles,Tor,SF,30,70,19.1,39.8,22.3,0.057,97,0.835,145,0.434,454,0.361,0.516,0.545,10,2.2,6.4,0.8,6,0.53,0.3,0.56,5.4,108.7,100.7
85,Clint Capela,Hou,C,23,74,27.5,57.3,19.4,0.115,257,0.56,675,0.653,1,0,0.652,0.65,13.9,10.8,22.2,0.9,5.7,0.78,1.86,1.39,7.5,126.6,96.4
86,Cody Zeller,Cha,PF,25,33,19,39.6,15.7,0.146,85,0.718,153,0.542,3,0.667,0.551,0.602,7.1,5.4,15.3,0.9,7.3,0.42,0.64,1,6.9,119.6,97.2
87,Cole Aldrich,Min,C,29,21,2.3,4.8,16.9,0.054,6,0.333,15,0.333,0,0,0.333,0.34,0.6,0.7,17.8,0.1,8.2,0.1,0.05,0.05,6,,
88,Corey Brewer,Lal,SF,31,54,12.9,26.8,14.2,0.163,51,0.667,129,0.543,43,0.186,0.477,0.509,3.7,1.7,7.1,0.8,8.1,0.76,0.15,0.7,5.3,97,98.4
89,Corey Brewer,Okc,SF,31,18,28.6,59.5,14.3,0.064,39,0.795,77,0.532,67,0.343,0.524,0.565,10.1,3.4,6.6,1.3,6.7,2.11,0.33,0.61,5,120.3,98.4
90,Cory Joseph,Ind,SG,26,82,27,56.1,14.8,0.12,94,0.745,413,0.458,190,0.353,0.48,0.504,7.9,3.2,6.8,3.2,16.1,0.98,0.23,1.07,6.4,105.8,105.9
91,Courtney Lee,Nyk,SG,32,76,30.4,63.3,16.9,0.094,124,0.919,477,0.482,278,0.406,0.529,0.564,12,2.9,5.4,2.4,11.3,1.05,0.22,1.11,5.8,112.1,111.2
92,Cristiano Felicio,Chi,C,25,55,17.8,37,13.6,0.177,81,0.667,213,0.596,2,0,0.591,0.614,5.6,4.2,12.8,1,8.4,0.29,0.2,0.98,6.4,114.8,103.4
93,D.J. Augustin,Orl,PG,30,75,23.5,48.9,18.6,0.164,189,0.868,268,0.485,272,0.419,0.557,0.615,10.2,2.1,5,3.8,24.4,0.71,0,1.63,7.4,116.4,110.3
94,D.J. Wilson,Mil,PF,21,22,3.2,6.7,13.3,0.192,2,0.5,11,0.636,5,0.4,0.625,0.622,1,0.5,8.2,0.1,6.1,0.14,0.05,0.18,4.6,,
95,Dakari Johnson,Okc,C,22,31,5.2,10.8,13.5,0.059,20,0.55,39,0.564,0,0,0.564,0.575,1.8,1.1,11.7,0.3,7.2,0.19,0.26,0.1,6.5,126.8,93.2
96,Damian Jones,Gol,C,22,15,5.9,12.3,14,0.142,5,0.6,22,0.5,0,0,0.5,0.517,1.7,0.9,8.8,0.1,2.9,0.07,0.2,0.27,3.6,99,97.8
97,Damian Lillard,Por,PG,27,73,36.6,76.2,30.6,0.111,538,0.916,786,0.501,629,0.361,0.519,0.594,26.9,4.5,6.6,6.6,30.9,1.05,0.37,2.82,10.1,120.3,106.5
98,Damien Wilkins,Ind,SG,38,19,8,16.7,13.4,0.109,4,0.75,21,0.429,18,0.222,0.385,0.405,1.7,0.8,5.9,0.5,7.7,0.11,0.05,0.26,4.4,89.3,110.2
99,Damion Lee,Atl,SG,25,15,27,56.2,19.3,0.078,29,0.759,92,0.511,60,0.25,0.457,0.489,10.7,4.7,9.8,1.9,11.2,1.27,0.07,0.93,6.8,100.7,106.2
100,Damyean Dotson,Nyk,SG,23,44,10.8,22.4,17.3,0.09,23,0.696,93,0.538,68,0.324,0.516,0.532,4.1,1.9,9.8,0.7,9.5,0.27,0.05,0.39,6.5,106,106.7
101,D'Angelo Russell,Bro,PG,21,48,25.7,53.5,30.8,0.168,131,0.74,394,0.477,278,0.324,0.481,0.509,15.5,3.9,8.1,5.2,35.8,0.75,0.35,3.06,10.6,97.8,106.4
102,Daniel Hamilton,Okc,SG,22,6,4.6,9.6,20.1,0.154,0,0,6,0.5,5,0.4,0.545,0.545,2,0.8,10,1.3,44.8,0.17,0,0.33,11.1,118.1,101.9
103,Daniel Theis,Bos,PF,25,63,14.9,30.9,15.5,0.172,81,0.753,175,0.617,58,0.31,0.579,0.616,5.3,4.3,16,0.9,9.1,0.48,0.76,0.89,7.3,117.3,87.2
104,Danilo Gallinari,Lac,SF,29,21,32,66.6,20.6,0.081,87,0.931,145,0.455,111,0.324,0.469,0.545,15.3,4.8,8.3,2,8.9,0.57,0.48,1.24,6.6,110.7,109.6
105,Danny Green,San,SG,30,70,25.6,53.3,16.6,0.112,65,0.769,241,0.419,320,0.363,0.49,0.509,8.6,3.6,7.7,1.6,8.9,0.9,1.14,1.06,5.7,100.5,101.2
106,Dante Cunningham,Nor,SF,30,51,21.9,45.6,10,0.062,36,0.556,117,0.547,108,0.324,0.518,0.525,5,3.8,9.4,0.5,3,0.53,0.31,0.31,3.9,110.5,106
107,Dante Cunningham,Bro,SF,30,22,20.3,42.3,15.8,0.104,16,0.688,79,0.532,60,0.383,0.55,0.561,7.5,4.8,12.5,1,7.6,0.55,0.64,0.77,6.5,110.7,104.7
108,Dante Exum,Uta,PG,22,14,16.8,34.9,23.1,0.166,31,0.806,69,0.536,18,0.278,0.511,0.566,8.1,1.9,6.3,3.1,29.8,0.57,0.21,1.43,8.6,110.1,99.4
109,Danuel House,Pho,SG,24,23,17.5,36.5,16.2,0.072,31,0.806,71,0.577,58,0.259,0.492,0.533,6.6,3.3,10.1,1.1,9.4,0.3,0.26,0.48,6.6,110.7,110.6
110,Dario Saric,Phi,PF,23,78,29.6,61.7,20.9,0.131,207,0.86,491,0.501,399,0.393,0.541,0.582,14.6,6.7,12.1,2.6,13,0.65,0.26,1.9,8.6,113.1,102.3
111,Darius Miller,Nor,SF,27,82,23.7,49.4,12.8,0.101,67,0.866,129,0.535,358,0.411,0.594,0.617,7.8,2,4.6,1.4,7.5,0.34,0.21,0.71,4.7,115,106.5
112,Darrell Arthur,Den,PF,29,19,7.4,15.4,19.6,0.237,3,0.667,24,0.583,23,0.348,0.553,0.559,2.8,0.8,6,0.5,9.4,0.42,0.16,0.79,5.6,89.6,97
113,Darren Collison,Ind,PG,30,69,29.3,60.9,17.4,0.109,144,0.882,433,0.508,205,0.468,0.571,0.61,12.4,2.6,5,5.3,26.4,1.33,0.22,1.25,7.6,126.2,106.7
114,Darrun Hilliard,San,SG,24,14,6.8,14.2,12.2,0.153,7,0.857,13,0.385,6,0,0.263,0.362,1.1,0.5,4.1,0.8,15.2,0.14,0,0.29,4.5,83.8,102.8
115,David Nwaba,Chi,PG,25,70,23.5,49,15.6,0.131,203,0.655,371,0.496,52,0.346,0.499,0.542,7.9,4.7,10.6,1.5,9.4,0.84,0.41,1.1,6.5,107.2,103.4
116,David Stockton,Uta,G,26,3,3.1,6.5,27.9,0.174,4,1,0,0,3,0.667,1,1.05,3.3,0,0,0,0,0,0,0.33,0,,
